student_id,cgpa,tenth_percentage,twelfth_percentage,aptitude_score,coding_score,technical_score,communication_score,number_of_projects,internship,internship_months,certifications,attendance_percentage,backlogs,extracurricular_activities,placement_status
1,7.75,84.34,65.64,50.62,45.26,64.12,83.78,2,Yes,6,1,84.15,1,Yes,Placed
2,7.05,68.39,59.66,44.71,46.92,47.48,89.32,2,No,0,0,72.75,0,No,Placed
3,7.91,65.18,,41.25,49.17,54.33,78.98,2,Yes,3,1,86.53,4,No,Not Placed
4,8.88,74.96,87.57,71.19,62.78,66.3,35.04,4,No,0,3,83.89,0,Yes,Placed
5,6.94,72.96,75.11,61.79,52.33,48.49,67.2,4,No,0,2,88.21,0,Yes,Placed
6,6.94,69.56,56.92,70.69,68.1,46.46,49.2,2,No,0,0,94.1,0,Yes,Placed
7,8.94,83.36,83.91,75.36,66.68,71.34,66.35,2,Yes,6,0,79.1,1,Yes,Placed
8,8.04,86.46,70.44,68.98,40.57,41.34,87.64,2,No,0,1,73.2,4,Yes,Not Placed
9,6.68,76.06,82.12,74.87,70.57,63.86,75.49,1,No,0,2,90.28,0,No,Placed
10,7.8,92.73,84.69,63.96,49.82,49.07,90.67,2,Yes,2,0,90.02,0,No,Placed
11,6.69,61.3,59.42,47.2,52.64,68.46,76.15,2,No,0,2,83.01,0,No,Placed
12,6.69,72.68,81.01,80.87,60.2,90.45,46.63,1,No,0,1,100.0,0,Yes,Placed
13,7.47,66.4,54.46,56.16,62.72,62.93,24.62,1,No,0,1,77.62,0,No,Not Placed
14,5.1,52.6,45.0,50.97,57.18,50.67,72.68,2,Yes,3,3,73.0,0,Yes,Placed
15,5.3,74.01,66.94,62.33,49.61,41.65,66.15,4,Yes,6,2,86.18,0,Yes,Placed
16,6.58,73.54,79.49,51.31,39.73,47.89,52.41,2,No,0,2,75.25,0,No,Not Placed
17,6.09,93.16,76.69,58.74,81.37,92.41,39.39,3,Yes,2,1,86.96,0,No,Placed
18,7.55,82.57,56.66,70.16,63.28,62.87,,2,Yes,3,1,73.67,1,Yes,Placed
19,6.2,62.71,,70.23,47.4,30.46,66.5,2,Yes,1,1,78.0,0,No,Not Placed
20,5.65,97.25,96.94,51.53,59.63,63.9,81.99,2,Yes,6,1,100.0,0,No,Not Placed
