Company,City,Latitude,Longitude,Vacancies,Required_Skills,History,Profile
Zoho Corporation,Chennai,12.8335,80.2241,1250,"Python, Java, C++, Frontend Dev, DevOps","Founded in 1996, Zoho is a multinational technology company making web-based business tools and cloud software.","Product-based company focused on creating extensive business and productivity software with a unique hiring culture (Zoho Schools)."
Freshworks,Chennai,12.9734,80.2483,850,"Ruby on Rails, React, AWS, Product Management","Founded in 2010, Freshworks provides innovative customer engagement software. It is the first Indian SaaS company to list on Nasdaq.","SaaS unicorn known for modern customer service, IT, and CRM solutions."
TCS (Siruseri),Chennai,12.8258,80.2185,5400,"Java, .NET, Spring Boot, Data Engineering, Testing","Tata Consultancy Services was established in 1968. The Siruseri campus is the largest IT facility in Asia.","A global IT services, consulting, and business solutions organization."
Infosys,Bangalore,12.8448,77.6632,6200,"Python, Machine Learning, Cloud Computing, Full Stack","Founded in 1981 by seven engineers, Infosys spearheaded India's IT revolution.","A global leader in next-generation digital services and consulting."
Wipro,Bangalore,12.8499,77.6750,4300,"Cybersecurity, Data Analytics, Java, Azure, AWS","Started in 1945 as a vegetable oil manufacturer, pivoted to IT in the 1980s to become a global leader.","Leading technology services and consulting company focused on building innovative solutions."
Flipkart,Bangalore,12.9344,77.6101,1100,"Data Structures, System Design, Scala, Machine Learning","Founded in 2007, Flipkart is India's leading e-commerce marketplace, now majority-owned by Walmart.","E-commerce giant offering complex engineering challenges at massive scale."
Razorpay,Bangalore,12.9279,77.6271,700,"Go, PHP, React, AWS, FinTech Security","Founded in 2014, Razorpay is India's premier FinTech startup focusing on payment gateways and neo-banking.","Unicorn startup disrupting the Indian payments ecosystem with developer-friendly APIs."
CRED,Bangalore,12.9250,77.6350,300,"Java, Kotlin, React Native, UI/UX Design","Founded in 2018, CRED is a highly design-focused FinTech club for credit card users.","Premium startup known for exceptionally high design standards and mobile engineering."
Postman,Bangalore,12.9716,77.5946,450,"Node.js, React, Electron, API Design","Founded in 2014, Postman started as a side project and became the world's leading API platform.","Global SaaS startup revolutionizing how developers build and test APIs."
Emirates Group IT,Dubai,25.2427,55.3359,600,"Data Science, Enterprise Architecture, Cybersecurity, Java","Part of the Emirates Group, focusing on aviation tech since the airline's inception in 1985.","Aviation IT group driving digital transformation for Emirates Airline and dnata."
Talabat,Dubai,25.1873,55.2635,450,"Go, Kubernetes, React Native, Product Design","Founded in Kuwait in 2004, Talabat is the largest online food ordering platform in the Middle East.","Fast-paced tech environment focused on logistics, delivery algorithms, and user experience."
Careem,Dubai,25.1011,55.1633,500,"Node.js, AWS, Data Analytics, Python","Founded in 2012 and acquired by Uber, Careem is the pioneering 'everything app' for the greater Middle East.","Super-app providing mobility, delivery, and financial services."
Robert Bosch,Coimbatore,11.0825,76.9922,750,"C, C++, Embedded Systems, IoT, Automation","Bosch entered India in 1922. The Coimbatore center focuses heavily on automotive engineering and IoT.","A leading global supplier of technology and services, highly focused on mobility solutions."
Cognizant,Coimbatore,11.0772,76.9943,2100,"Java, SQL, Automation Testing, Cloud Ops","Cognizant has heavily invested in Tier-2 cities. Coimbatore is one of their major delivery centers.","Multinational IT services provider specializing in business transformation and modern IT."
Pricol,Coimbatore,11.0253,76.9427,350,"Embedded C, Mechanical Design, IoT, Manufacturing Tech","Founded in 1974 in Coimbatore, Pricol is a major automotive components and precision engineering company.","Leading manufacturer of automotive components bridging traditional engineering with smart tech."
Zomato,Gurugram,28.4595,77.0266,950,"Python, React Native, Redis, Data Engineering","Founded in 2008, Zomato revolutionized food discovery and delivery in India and globally.","Consumer tech giant managing high-volume, real-time logistics and food delivery systems."
Delhivery,Gurugram,28.4089,77.0453,800,"Data Science, Supply Chain Analytics, Go, Microservices","Founded in 2011, Delhivery is India's largest fully integrated logistics provider.","Deep-tech logistics startup utilizing advanced operations research and machine learning."
Microsoft IDC,Hyderabad,17.4399,78.3496,2500,"C#, Azure, C++, Machine Learning, Product Management","The India Development Center (IDC) was established in 1998 and is one of Microsoft's largest R&D centers globally.","Tech titan working on core products like Azure, Windows, and Office 365."
T-Hub (Startups),Hyderabad,17.4359,78.3840,1200,"Full Stack, Mobile Dev, UI/UX, AI/ML","T-Hub is India's largest innovation campus, housing hundreds of high-growth early-stage startups.","Dynamic ecosystem where you can work on cutting-edge experimental technologies."
Tech Mahindra,Pune,18.5793,73.8143,3200,"Telecom Tech, Network Security, Java, Cloud Migration","Formed as a joint venture with British Telecom in 1986, it's a leader in telecom IT services.","Leading provider of digital transformation and telecom consulting."
Bajaj Finserv,Pune,18.5538,73.9066,900,"Data Engineering, .NET, RPA, Data Analytics","Financial services giant headquartered in Pune, heavily investing in AI and data-driven lending.","Large enterprise utilizing modern tech to disrupt the traditional lending and insurance markets."
Paytm,Noida,28.5355,77.3910,1400,"Node.js, AWS, iOS/Android, FinTech Architecture","Founded in 2010, Paytm pioneered digital payments in India and led the mobile wallet revolution.","Major FinTech startup building financial inclusion products at a massive scale."
HCLTech,Noida,28.5833,77.3197,4100,"Infrastructure Management, Cybersecurity, Java, Cloud Ops","Founded in 1976 in a garage, HCL played a vital role in India's emergence as an IT hub.","Global IT services firm known for infrastructure management and complex enterprise solutions."
